y_salary_m_hu,y_inglab_m_ha,clase,estrato1,sex,age,regsalud,maxeduclevel,p6426,sizefirm,depto,hoursworkusual,cuentapropia,totalhoursworked,relab,formal
,,1,2,1,73,1.0,3.0,12.0,2.0,11,60.0,0,60.0,6.0,0.0
4375.0,6095.83349609375,1,2,0,44,1.0,6.0,144.0,5.0,11,48.0,0,48.0,1.0,1.0
5833.33349609375,6723.59716796875,1,2,1,21,1.0,7.0,12.0,5.0,11,48.0,0,48.0,1.0,1.0
2430.5556640625,2430.5556640625,1,2,1,19,2.0,6.0,11.0,5.0,11,48.0,0,48.0,2.0,1.0
,,1,2,1,37,1.0,6.0,4.0,1.0,11,60.0,1,60.0,4.0,0.0
3586.12426757812,2360.31762695312,1,2,0,39,1.0,7.0,20.0,3.0,11,48.0,0,98.0,1.0,1.0
1000.0,1000.0,1,2,1,19,2.0,6.0,5.0,5.0,11,70.0,0,70.0,2.0,1.0
35826.390625,38811.921875,1,4,1,59,1.0,7.0,72.0,2.0,11,48.0,0,48.0,1.0,1.0
3990.2431640625,4726.916015625,1,4,0,53,1.0,7.0,72.0,2.0,11,48.0,0,48.0,1.0,1.0
38888.890625,44444.4453125,1,4,0,51,1.0,7.0,9.0,5.0,11,60.0,0,63.0,2.0,1.0
,,1,4,1,50,1.0,7.0,10.0,1.0,11,60.0,1,60.0,4.0,0.0
12152.77734375,13043.9814453125,1,4,1,31,1.0,7.0,60.0,2.0,11,48.0,0,48.0,1.0,1.0
,,1,4,0,56,1.0,7.0,360.0,3.0,11,30.0,0,30.0,5.0,0.0
,,1,4,1,58,1.0,7.0,360.0,3.0,11,40.0,0,40.0,5.0,0.0
9657.4072265625,10521.60546875,1,4,0,28,1.0,7.0,1.0,5.0,11,36.0,0,36.0,1.0,1.0
,,1,3,1,55,1.0,6.0,120.0,1.0,11,48.0,1,48.0,4.0,0.0
,,1,3,0,50,1.0,6.0,4.0,1.0,11,40.0,1,40.0,4.0,0.0
6319.4443359375,6319.4443359375,1,3,1,26,1.0,7.0,24.0,4.0,11,48.0,0,48.0,1.0,1.0
